env/completion_counter,env/current_idx,eval/mean_reward,time/total_timesteps,eval/success_rate,eval/mean_ep_length,env/n_steps,time/iterations,rollout/success_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
,,,3390,,,,113,0.77,12905,0,1.62,-0.21650240999999998,,,,,,,,,,
0,1920,-0.04952025088481605,3420,0.94,1.22,3420,,,,,,,0.09000000283122063,0.2,0.019221092,-0.03279289174514517,0.001,0.17404929995536805,-0.28595054149627686,0.01695021241903305,0.2917347550392151,1130
,,,3420,,,,114,0.76,13019,0,1.64,-0.22902751999999996,,,,,,,,,,
0,1939,-0.029447334264405073,3450,0.96,1.18,3450,,,,,,,0.22000000812113285,0.2,0.024681745,-0.034993565653761216,0.001,0.14744151681661605,-0.39795997738838196,-0.019571110606193542,0.20023149251937866,1140
,,,3450,,,,115,0.79,13125,0,1.55,-0.22563022000000005,,,,,,,,,,
0,1956,-0.06995196865405888,3480,0.94,1.22,3480,,,,,,,0.10666667185723781,0.2,0.021958621,-0.02788070697958318,0.001,0.16795826554298401,-0.2328974649310112,0.014490406960248947,0.15080022811889648,1150
,,,3480,,,,116,0.79,13247,0,1.56,-0.22423596999999998,,,,,,,,,,
0,1977,-0.06746496292762458,3510,0.94,1.16,3510,,,,,,,0.09000000432133674,0.2,0.03143315,-0.01845745648567885,0.001,0.11627915389835834,-0.26006151735782623,-0.0036993231624364853,0.33407700061798096,1160
,,,3510,,,,117,0.77,13351,0,1.58,-0.23371264000000008,,,,,,,,,,
0,1995,-0.15695482574403286,3540,0.78,1.52,3540,,,,,,,0.04333333559334278,0.2,0.015206903,-0.018861231214056317,0.001,0.2190652683377266,-0.14729110151529312,0.05156771093606949,-0.5607385635375977,1170
,,,3540,,,,118,0.76,13474,0,1.59,-0.24049685,,,,,,,,,,
0,2021,-0.11034746380988508,3570,0.88,1.28,3570,,,,,,,0.01666666753590107,0.2,0.008886979,-0.004449949799673192,0.001,0.1800751268863678,-0.10513201653957367,0.06609266251325607,0.24927473068237305,1180
,,,3570,,,,119,0.81,13591,0,1.49,-0.19567991999999998,,,,,,,,,,
0,2039,-0.07169015164952725,3600,0.9,1.24,3600,,,,,,,0.10666666999459266,0.2,0.029354563,-0.027389119518920778,0.001,0.18475492745637895,-0.1963265523314476,0.03263235464692116,-0.04797780513763428,1190
,,,3600,,,,120,0.8,13696,0,1.51,-0.19981666000000003,,,,,,,,,,
0,2060,-0.0690796655509621,3630,0.9,1.24,3630,,,,,,,0.09333333522081375,0.2,0.01971554,-0.017932442575693132,0.001,0.21779647171497346,-0.23488541543483735,0.03606582060456276,0.337114155292511,1200
,,,3630,,,,121,0.83,13809,0,1.43,-0.18570657999999998,,,,,,,,,,
0,2079,-0.1107428505178541,3660,0.9,1.24,3660,,,,,,,0.036666668206453326,0.2,0.017424459,-0.01642820065996311,0.001,0.15166841372847556,-0.2016558900475502,0.022541102021932602,0.3809826374053955,1210
,,,3660,,,,122,0.83,13916,0,1.44,-0.16986087000000002,,,,,,,,,,
