rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,env/n_steps,env/current_idx,time/fps,time/total_timesteps,env/completion_counter,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.87,6132,1.5,167,-0.10478494999999999,5010,3672,0,5010,0,0.2,8300,-0.04820619408662118,-0.18665078580379485,0.2597121000289917,0.008535884094890207,0.3313333414494991,0.6595857,0.001,-0.05224701389670372,,,
0.87,6175,1.53,168,-0.11555748999999998,5040,3689,0,5040,0,0.2,8350,-0.07302407146245243,-0.13138544037938119,0.09136706590652466,0.08197674229741096,0.2900000083446503,0.7641627,0.001,-0.0715261846780777,,,
0.9,6210,1.45,169,-0.09403533999999998,5070,3712,0,5070,0,0.2,8400,-0.08579415903985506,-0.10770106047391892,-0.0034412145614624023,0.09644233273342252,0.3300000089406967,0.7841064,0.001,-0.08508147299289703,,,
0.9,6251,1.41,170,-0.09359687999999998,5100,3734,0,5100,0,0.2,8450,-0.05699451370040574,-0.09336941137909889,-0.3576730489730835,0.03260356277227402,0.3540000070631504,1.5110986,0.001,-0.05926300212740898,,,
0.92,6285,1.34,171,-0.07219582,5130,3761,0,5130,0,0.2,8500,-0.054204783588647845,-0.07676136359572411,0.23011398315429688,0.025351253501139582,0.16733333773911,0.15881796,0.001,-0.05482500419020653,,,
0.94,6325,1.29,172,-0.05038853000000001,5160,3783,0,5160,0,0.2,8550,-0.02580527785172066,-0.09329756885766984,-80.68496704101562,0.0015569097112165765,0.23600000903010368,0.8651957,0.001,-0.029861044138669968,,,
0.95,6360,1.3,173,-0.04070549,5190,3804,0,5190,0,0.2,8600,-0.03438366748640931,-0.05204087734222412,-0.13744878768920898,0.04410892695188522,0.13266667276620864,0.12882616,0.001,-0.07104691118001938,,,
0.95,6396,1.35,174,-0.051351509999999996,5220,3823,0,5220,0,0.2,8650,-0.035943881421039506,-0.17904229879379271,-64.73829650878906,0.005285611937288195,0.3640000055730343,0.6885573,0.001,-0.05506620928645134,,,
0.94,6430,1.38,175,-0.051591839999999986,5250,3846,0,5250,0,0.2,8700,-0.08971735080579915,-0.10856646314263343,-0.022488713264465332,0.10255955077940598,0.3213333413004875,1.8907545,0.001,-0.12416478991508484,,,
0.93,6470,1.38,176,-0.07278022,5280,3870,0,5280,0,0.2,8750,-0.05562124824523926,-0.09369679212570191,0.4263753890991211,0.00716551793331746,0.24333334103226661,0.65141547,0.001,-0.07510537654161453,,,
