env/completion_counter,eval/mean_reward,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/n_steps,eval/success_rate,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/approx_kl
0,-0.05181160664651543,9473,1.42,20400,20400,0.94,,,,,,,0.2,0.06465909093618392,-0.40472690224647523,-0.016077106995508076,335,0.001,0.19183987379074097,0.03339540213346481,0.16249419569969178,0.015420884
,,,,20400,,,0,0.83,68,31037,1.98,-0.18461341999999997,,,,,,,,,,
0,-0.05324634361546487,9615,1.28,20700,20700,0.96,,,,,,,0.2,0.0699431824684143,-0.37045727133750916,-0.011646297652041539,340,0.001,0.28046268224716187,0.05043167248368263,0.14450062617659568,0.026314154
,,,,20700,,,0,0.86,69,31461,2.0,-0.15573774,,,,,,,,,,
0,-0.029002562807872893,9763,1.2,21000,21000,0.98,,,,,,,0.2,0.09505681842565536,-0.39078529953956603,-0.013439500164240599,345,0.001,0.05223125219345093,0.0302747655659914,0.16585509061813355,0.015179103
,,,,21000,,,0,0.81,70,31916,2.07,-0.23082732,,,,,,,,,,
0,-0.02872308299411088,9911,1.18,21300,21300,0.98,,,,,,,0.2,0.07704545468091965,-0.3844679868221283,-0.014547042660415172,350,0.001,0.22115254402160645,0.009623706340789795,0.14255321592092515,0.021303134
,,,,21300,,,0,0.81,71,32391,2.06,-0.24540040999999999,,,,,,,,,,
0,-0.029700814485549926,10059,1.28,21600,21600,0.98,,,,,,,0.2,0.05926136404275894,-0.40366943955421447,-0.010697157746180892,355,0.001,0.18283969163894653,0.023748159408569336,0.16843809992074965,0.013841452
,,,,21600,,,0,0.83,72,32853,2.15,-0.18945681,,,,,,,,,,
0,-0.05322949837427586,10219,1.42,21900,21900,0.94,,,,,,,0.2,0.04318181842565536,-0.37073713064193725,-0.01468513511121273,360,0.001,-0.0039632320404052734,0.03062964603304863,0.16702922612428664,0.009000895
,,,,21900,,,0,0.83,73,33337,1.98,-0.18583918,,,,,,,,,,
0,-0.18593190353363753,10359,1.74,22200,22200,0.84,,,,,,,0.2,0.05732954561710358,-0.3574824738502502,-0.013247715341858566,365,0.001,0.21381497383117676,0.006359236314892769,0.13905686572194098,0.021218833
,,,,22200,,,0,0.78,74,33799,2.2,-0.25321297000000004,,,,,,,,,,
0,-0.052199474587105214,10504,1.42,22500,22500,0.94,,,,,,,0.2,0.07732954591512681,-0.3632767462730408,-0.013613521922379732,370,0.001,0.2024417519569397,0.04679029434919357,0.17870873659849168,0.017864203
,,,,22500,,,0,0.85,75,34251,1.96,-0.16824274000000003,,,,,,,,,,
0,-0.05479902208317071,10651,1.42,22800,22800,0.94,,,,,,,0.2,0.06653409123420716,-0.2917289167642593,-0.012797620231285691,375,0.001,0.2990769147872925,0.06454513221979141,0.13708622872829437,0.0146553395
,,,,22800,,,0,0.79,76,34714,2.14,-0.26543076000000004,,,,,,,,,,
0,-0.0755681651737541,10794,1.44,23100,23100,0.94,,,,,,,0.2,0.05937500029802322,-0.2607385092973709,-0.011418541092425585,380,0.001,0.25856006145477295,0.0278323981910944,0.15842159688472748,0.02095179
,,,,23100,,,0,0.79,77,35171,2.12,-0.24893406,,,,,,,,,,
0,-0.07336048254743219,10934,1.36,23400,23400,0.94,,,,,,,0.2,0.08602272778749466,-0.41210680723190307,-0.022337506655603648,385,0.001,0.29997092485427856,0.002188514918088913,0.15054283797740936,0.036236804
,,,,23400,,,0,0.81,78,35609,2.08,-0.23758326999999999,,,,,,,,,,
0,-0.0513421003613621,11077,1.3,23700,23700,0.96,,,,,,,0.2,0.06636363685131073,-0.44145928502082826,-0.012666993327438831,390,0.001,0.29023313522338867,0.04178570583462715,0.14326784610748292,0.01311816
,,,,23700,,,0,0.82,79,36055,2.12,-0.20804141,,,,,,,,,,
0,-0.052024954427033664,11213,1.4,24000,24000,0.94,,,,,,,0.2,0.1293181824684143,-0.5679233169555664,-0.02427566099911928,395,0.001,0.1251404881477356,8.192658424377441e-05,0.15688631743192671,0.050809205
,,,,24000,,,0,0.81,80,36470,2.13,-0.23413134,,,,,,,,,,
0,-0.06057231104001403,11343,1.4,24300,24300,0.96,,,,,,,0.2,0.14295454531908036,-0.6180249953269958,-0.0273110620258376,400,0.001,0.18886536359786987,0.025135233998298645,0.16116946339607238,0.028050195
,,,,24300,,,0,0.74,81,36921,2.32,-0.30334301,,,,,,,,,,
0,-0.09534494840539992,11499,1.46,24600,24600,0.9,,,,,,,0.2,0.11113636374473572,-0.6784377264976501,-0.02100281456485391,405,0.001,0.312150776386261,0.02368166670203209,0.1518108567595482,0.029431785
,,,,24600,,,0,0.83,82,37354,1.95,-0.21089678,,,,,,,,,,
0,-0.02991509054321796,11662,1.2,24900,24900,0.98,,,,,,,0.2,0.1386931821703911,-0.6791219091415406,-0.0308553608879447,410,0.001,0.2319779396057129,-0.007808554917573929,0.15119051933288574,0.029760182
,,,,24900,,,0,0.91,83,37801,1.75,-0.13053916,,,,,,,,,,
0,-0.11753297274000943,11822,1.5,25200,25200,0.9,,,,,,,0.2,0.12301136404275895,-0.6121780633926391,-0.03240605222061276,415,0.001,0.2737903594970703,0.0008807852864265442,0.13231419831514357,0.03499944
,,,,25200,,,0,0.88,84,38248,1.78,-0.15659678,,,,,,,,,,
0,-0.04979105095379054,11966,1.26,25500,25500,0.96,,,,,,,0.2,0.16681818246841432,-0.6314694666862488,-0.032381302043795586,420,0.001,0.21992528438568115,0.01834433153271675,0.13671098098158838,0.036841772
,,,,25500,,,0,0.83,85,38662,2.09,-0.22510899,,,,,,,,,,
0,-0.07373280844651163,12121,1.44,25800,25800,0.92,,,,,,,0.2,0.08062500029802322,-0.5052862226963043,-0.0190046408213675,425,0.001,0.24074220657348633,0.031068645417690277,0.15476994574069977,0.016339567
,,,,25800,,,0,0.82,86,39105,1.94,-0.18524073000000002,,,,,,,,,,
0,-0.02926116591785103,12285,1.24,26100,26100,0.98,,,,,,,0.2,0.09846590965986252,-0.40143173456192016,-0.017276777736842632,430,0.001,0.3438934087753296,0.01293814554810524,0.12494877994060516,0.028535914
,,,,26100,,,0,0.86,87,39530,1.83,-0.15977318000000004,,,,,,,,,,
0,-0.055161723522469404,12425,1.58,26400,26400,0.92,,,,,,,0.2,0.10409090965986252,-0.46033809065818787,-0.01855399999767542,435,0.001,0.08358758687973022,0.05204309523105621,0.1696808582544327,0.024050515
,,,,26400,,,0,0.82,88,39994,2.04,-0.23998828000000003,,,,,,,,,,
0,-0.03302342520095408,12576,1.34,26700,26700,0.98,,,,,,,0.2,0.09272727310657501,-0.4776595973968506,-0.016796265635639428,440,0.001,0.2643725275993347,0.03365865349769592,0.17170858532190322,0.037216008
,,,,26700,,,0,0.84,89,40424,2.02,-0.16240173,,,,,,,,,,
0,-0.09921552769839764,12730,1.5,27000,27000,0.92,,,,,,,0.2,0.10517045557498932,-0.4456168329715729,-0.021259549548849465,445,0.001,0.057554662227630615,0.0006712265312671661,0.16575475245714189,0.024380997
,,,,27000,,,0,0.82,90,40862,1.97,-0.19504671,,,,,,,,,,
