env/completion_counter,env/current_idx,time/total_timesteps,eval/mean_reward,eval/success_rate,env/n_steps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss
,,35100,,,,,2.11,0,53299,-0.25594576,0.79,117,,,,,,,,,,
0,17112,35400,-0.05214987732935697,0.96,35400,1.44,,,,,,,0.05255681857466698,0.2,1170,0.03874789923429489,0.007058176,0.2580956816673279,-0.37276205778121946,-0.015293612093664706,0.0001,0.1722266258299351
,,35400,,,,,1.76,0,53755,-0.12652048,0.91,118,,,,,,,,,,
0,17251,35700,-0.07071782830171287,0.94,35700,1.32,,,,,,,0.047613636702299116,0.2,1180,0.039097052067518234,0.0042877714,0.23918628692626953,-0.31548025369644167,-0.015225884502287955,0.0001,0.13387177050113677
,,35700,,,,,2.16,0,54180,-0.22680775,0.8,119,,,,,,,,,,
0,17402,36000,-0.11710584344808012,0.88,36000,1.68,,,,,,,0.06988636404275894,0.2,1190,0.03924591466784477,0.008080611,0.2999541163444519,-0.4600552076101303,-0.018216068372130394,0.0001,0.1692294853925705
,,36000,,,,,1.86,0,54640,-0.16947440000000003,0.87,120,,,,,,,,,,
0,17541,36300,-0.054118069587275386,0.92,36300,1.38,,,,,,,0.0496022729575634,0.2,1200,0.05696690082550049,0.0074177394,0.10269838571548462,-0.5282777482271195,-0.019285405538976192,0.0001,0.17507799431681634
,,36300,,,,,2.04,0,55069,-0.21350284000000003,0.82,121,,,,,,,,,,
0,17705,36600,-0.03012126258574426,0.98,36600,1.24,,,,,,,0.062215909361839294,0.2,1210,0.08576447516679764,0.008778414,0.13352429866790771,-0.374184889793396,-0.01393987358547747,0.0001,0.189833801984787
,,36600,,,,,1.71,0,55499,-0.18002808,0.85,122,,,,,,,,,,
0,17866,36900,-0.031016446519643068,0.96,36900,1.28,,,,,,,0.04465909123420715,0.2,1220,0.052968427538871765,0.007024616,0.1869404911994934,-0.3699443781375885,-0.01765525678638369,0.0001,0.18238104686141013
,,36900,,,,,1.82,0,55910,-0.13110031,0.89,123,,,,,,,,,,
0,18030,37200,-0.052766792136244474,0.96,37200,1.36,,,,,,,0.046335227489471435,0.2,1230,0.05366570129990578,0.0066743186,0.11062979698181152,-0.41960370302200317,-0.016057530178222805,0.0001,0.1755128873884678
,,37200,,,,,1.78,0,56344,-0.14260132,0.88,124,,,,,,,,,,
0,18189,37500,-0.030777560700662433,0.98,37500,1.24,,,,,,,0.06818181857466697,0.2,1240,0.014156673103570938,0.014767352,0.2772822380065918,-0.34092053174972536,-0.02370161546394229,0.0001,0.1290241450071335
,,37500,,,,,1.84,0,56809,-0.13971096000000002,0.86,125,,,,,,,,,,
0,18353,37800,-0.009289132026024162,0.98,37800,1.2,,,,,,,0.041250000298023226,0.2,1250,0.037563443183898926,0.0037933886,0.23019492626190186,-0.322716691493988,-0.01336105473805219,0.0001,0.13976917520165444
,,37800,,,,,1.89,0,57226,-0.18434277999999993,0.86,126,,,,,,,,,,
0,18507,38100,-0.07259850587230175,0.9,38100,1.42,,,,,,,0.0330397729575634,0.2,1260,0.01767519861459732,0.003971908,0.22513526678085327,-0.3967387056350708,-0.013089868443494197,0.0001,0.1476093590259552
,,38100,,,,,1.92,0,57652,-0.18838836000000003,0.85,127,,,,,,,,,,
0,18667,38400,-0.06254402986261993,0.96,38400,1.38,,,,,,,0.05372159123420715,0.2,1270,0.030589163303375244,0.004900774,0.2244362235069275,-0.39725973188877106,-0.017163621080107987,0.0001,0.15436514750123023
,,38400,,,,,1.79,0,58101,-0.17550093,0.86,128,,,,,,,,,,
0,18807,38700,-0.07392687240149826,0.94,38700,1.38,,,,,,,0.03332386389374733,0.2,1280,0.011412426829338074,0.004761571,0.33565670251846313,-0.3291549342870712,-0.012152450834400952,0.0001,0.13886389285326003
,,38700,,,,,2.09,0,58514,-0.21398084,0.82,129,,,,,,,,,,
0,18956,39000,-0.08068219087086619,0.9,39000,1.5,,,,,,,0.06213068217039108,0.2,1290,0.015389576554298401,0.007931622,0.2560961842536926,-0.3793304598331451,-0.01604918571712915,0.0001,0.166231739372015
,,39000,,,,,2.2,0,58942,-0.19894204,0.82,130,,,,,,,,,,
0,19105,39300,-0.09607238105963915,0.9,39300,1.56,,,,,,,0.09267045497894287,0.2,1300,0.028836246579885483,0.016978243,0.3269742727279663,-0.421452122926712,-0.02764340619323775,0.0001,0.14131266355514527
,,39300,,,,,1.87,0,59386,-0.18468277000000005,0.85,131,,,,,,,,,,
0,19252,39600,-0.07252123408485205,0.94,39600,1.4,,,,,,,0.037812500149011614,0.2,1310,0.0663551539182663,0.0036319667,0.3922978639602661,-0.38972979128360746,-0.010143679950851947,0.0001,0.14657587677240372
,,39600,,,,,2.02,0,59823,-0.19096217,0.82,132,,,,,,,,,,
0,19396,39900,-0.02764879028312862,0.98,39900,1.1,,,,,,,0.0314772729575634,0.2,1320,0.08650470525026321,0.0037550987,0.23083722591400146,-0.3584060463309288,-0.012846755695063621,0.0001,0.1708817709982395
,,39900,,,,,2.1,0,60240,-0.25032053000000004,0.79,133,,,,,,,,,,
0,19550,40200,-0.05767451589927077,0.94,40200,1.38,,,,,,,0.047528409361839295,0.2,1330,0.049195297062397,0.0077200197,0.2919047474861145,-0.3533588808774948,-0.018417057991027833,0.0001,0.1556960943341255
,,40200,,,,,1.96,0,60680,-0.22546729,0.8,134,,,,,,,,,,
0,19717,40500,-0.0735219176998362,0.94,40500,1.4,,,,,,,0.06818181842565536,0.2,1340,0.005096718668937683,0.0065616868,0.19367069005966187,-0.27855852991342545,-0.014089498640969396,0.0001,0.1758673930168152
,,40500,,,,,1.84,0,61167,-0.19652390999999997,0.83,135,,,,,,,,,,
0,19867,40800,-0.08022671533748507,0.92,40800,1.5,,,,,,,0.02622159108519554,0.2,1350,0.04188508912920952,0.0043533496,0.3370439410209656,-0.29074283987283706,-0.009286182058858686,0.0001,0.15428025797009468
,,40800,,,,,1.99,0,61622,-0.17691055999999997,0.82,136,,,,,,,,,,
0,20025,41100,-0.02936718488112092,0.98,41100,1.22,,,,,,,0.02997159108519554,0.2,1360,0.03302635997533798,0.00556845,0.1491413116455078,-0.2906094095110893,-0.010246425475925207,0.0001,0.16461364939808845
,,41100,,,,,1.91,0,62054,-0.19263807,0.84,137,,,,,,,,,,
0,20165,41400,-0.031302290875464676,0.98,41400,1.32,,,,,,,0.023920454680919648,0.2,1370,0.02808312326669693,0.0040310565,0.36602598428726196,-0.22613067656755448,-0.008624072207603604,0.0001,0.12697360172867775
,,41400,,,,,2.21,0,62493,-0.20339309,0.81,138,,,,,,,,,,
0,20312,41700,-0.05402241973206401,0.92,41700,1.46,,,,,,,0.02559659108519554,0.2,1380,0.01859389990568161,0.0033781491,0.14953774213790894,-0.2756138104200363,-0.010407139158342033,0.0001,0.14790334388613702
,,41700,,,,,2.15,0,62930,-0.23844509000000003,0.79,139,,,,,,,,,,
0,20457,42000,-0.008767330460250378,1.0,42000,1.22,,,,,,,0.03250000014901161,0.2,1390,0.08179771155118942,0.0043949126,0.14238476753234863,-0.25407689809799194,-0.00835798899177462,0.0001,0.18072281315922736
,,42000,,,,,2.06,0,63380,-0.2052819,0.83,140,,,,,,,,,,
0,20617,42300,-0.04826087755616754,0.96,42300,1.22,,,,,,,0.03198863655328751,0.2,1400,0.0585024431347847,0.0048726583,0.21476048231124878,-0.28285995036363604,-0.01128314547240734,0.0001,0.15617034152150155
,,42300,,,,,2.08,0,63808,-0.17472597,0.84,141,,,,,,,,,,
0,20767,42600,-0.09289573465473949,0.92,42600,1.48,,,,,,,0.03681818202137947,0.2,1410,0.024463627487421036,0.011120932,0.2514042854309082,-0.30872474253177645,-0.015473072254098951,0.0001,0.1153454439342022
,,42600,,,,,2.01,0,64284,-0.15800285000000003,0.87,142,,,,,,,,,,
0,20919,42900,-0.07337192244827748,0.94,42900,1.44,,,,,,,0.0571022729575634,0.2,1420,0.044480353593826294,0.00525345,0.23554205894470215,-0.26100854963064196,-0.015386479697190225,0.0001,0.1409968338906765
,,42900,,,,,2.04,0,64789,-0.23224555,0.81,143,,,,,,,,,,
0,21067,43200,-0.07599990637041629,0.92,43200,1.58,,,,,,,0.03681818202137947,0.2,1430,0.027908096089959145,0.0065073967,0.2782544493675232,-0.2648523825407028,-0.010651017755735665,0.0001,0.1597776871919632
,,43200,,,,,2.14,0,65230,-0.25170706,0.79,144,,,,,,,,,,
0,21230,43500,-0.00778576401527971,1.0,43500,1.14,,,,,,,0.03508522748947143,0.2,1440,0.06546272337436676,0.0053278347,0.2888370752334595,-0.3510016936063767,-0.014450097405351699,0.0001,0.16557096928358078
,,43500,,,,,1.76,0,65645,-0.11526222000000001,0.88,145,,,,,,,,,,
0,21378,43800,-0.06091660779900849,0.94,43800,1.5,,,,,,,0.02426136374473572,0.2,1450,0.0481925830245018,0.0029593105,0.049464643001556396,-0.3239417657256126,-0.008302733867312782,0.0001,0.18702008560299874
,,43800,,,,,1.89,0,66094,-0.17217518999999995,0.85,146,,,,,,,,,,
0,21522,44100,-0.08328727319370956,0.92,44100,1.58,,,,,,,0.039829545766115186,0.2,1460,0.030883608385920525,0.0058772536,0.3241921663284302,-0.39694236814975736,-0.014727238598279655,0.0001,0.13423727691173554
,,44100,,,,,2.21,0,66535,-0.25975725,0.78,147,,,,,,,,,,
0,21667,44400,-0.05088062844704837,0.96,44400,1.22,,,,,,,0.05184659123420715,0.2,1470,0.04516391456127167,0.0073791905,0.2661703824996948,-0.3102470791339874,-0.013572854273952543,0.0001,0.15978682801127433
,,44400,,,,,2.13,0,66963,-0.2503584,0.8,148,,,,,,,,,,
0,21825,44700,-0.03246986520942301,0.96,44700,1.28,,,,,,,0.06696022763848304,0.2,1480,0.04287988319993019,0.006512407,0.0933218002319336,-0.3001584273576736,-0.016994868069887162,0.0001,0.19595495104789734
,,44700,,,,,2.04,0,67407,-0.2491882,0.81,149,,,,,,,,,,
0,21989,45000,-0.09570739997550845,0.92,45000,1.5,,,,,,,0.045653409361839294,0.2,1490,0.059716127812862396,0.0038727387,0.26796579360961914,-0.2245828877389431,-0.011186453741975128,0.0001,0.1564258272945881
,,45000,,,,,1.84,0,67866,-0.1583625,0.86,150,,,,,,,,,,
0,22148,45300,-0.009595390004105865,1.0,45300,1.18,,,,,,,0.040056818425655366,0.2,1500,0.03223592787981033,0.007156075,0.2203899621963501,-0.3169928187131882,-0.013274662212934345,0.0001,0.14596581861376762
,,45300,,,,,2.01,0,68305,-0.21486383999999997,0.83,151,,,,,,,,,,
0,22288,45600,-0.029475997677072884,0.96,45600,1.28,,,,,,,0.05017045482993126,0.2,1510,0.045635588467121124,0.004138932,0.2721203565597534,-0.24536328703165056,-0.01026461279951036,0.0001,0.15180551931262015
,,45600,,,,,2.11,0,68727,-0.20321078000000004,0.81,152,,,,,,,,,,
0,22437,45900,-0.09510804361198097,0.88,45900,1.56,,,,,,,0.028778409361839296,0.2,1520,0.03266795724630356,0.00318981,0.22271138429641724,-0.28201584458351137,-0.010530810513300822,0.0001,0.14687796473503112
,,45900,,,,,2.1,0,69181,-0.22619611000000003,0.79,153,,,,,,,,,,
0,22596,46200,-0.00911816674284637,0.98,46200,1.2,,,,,,,0.02940340921282768,0.2,1530,0.02147076278924942,0.004290902,0.35070234537124634,-0.24230084896087647,-0.013276820065220818,0.0001,0.1350976763665676
,,46200,,,,,1.83,0,69617,-0.14454524000000002,0.89,154,,,,,,,,,,
0,22755,46500,-0.0739669734891504,0.92,46500,1.48,,,,,,,0.023522727489471436,0.2,1540,0.010207246989011765,0.0038639933,0.32377636432647705,-0.21321631729602813,-0.007153119898866862,0.0001,0.1302342312037945
