time/total_timesteps,env/n_steps,time/iterations,env/completion_counter,rollout/ep_len_mean,env/current_idx,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,eval/success_rate,eval/mean_reward,eval/mean_ep_length
2610,2610,87,0,1.17,1975,0,3093,0.97,-0.03853336,0.0,0.09947446033358574,4300,-0.007820232398808002,0.001,7.987022e-07,-0.13122498989105225,-0.00018376664453049864,0.035276465117931366,0.2,,,
2640,2640,88,0,1.19,1997,0,3130,0.97,-0.03911189,0.007333333715796471,0.0022288483691227158,4350,-0.020374217303469777,0.001,0.09734175,-19.776365280151367,-0.0009000084413040809,-0.005833076778799295,0.2,,,
2670,2670,89,0,1.32,2012,0,3167,0.92,-0.09067875000000003,0.1753333368897438,0.09585341103374959,4400,-0.249047874212265,0.001,0.0948981,-0.0010896921157836914,-0.059453709646593786,-0.05506397783756256,0.2,,,
2700,2700,90,0,1.36,2035,0,3203,0.91,-0.10116685,0.5006666854768992,0.06362642158288509,4450,-0.799477292150259,0.001,1.1966373,0.14420074224472046,-0.0692894660484356,-0.07997128367424011,0.2,,,
2730,2730,91,0,1.35,2058,0,3244,0.92,-0.09129688000000004,0.3353333376348019,0.05552641751302872,4500,-0.3542977350950241,0.001,1.4469905,-0.16737401485443115,-0.06536533338328204,-0.10286399722099304,0.2,,,
2760,2760,92,0,1.46,2076,0,3276,0.89,-0.12250591999999999,0.7406666651368141,0.0005418128316523507,4550,-0.8029634380340576,0.001,0.77793634,0.10050004720687866,-0.1078890358110269,-0.12752996385097504,0.2,,,
2790,2790,93,0,1.39,2100,0,3309,0.9,-0.11142976,0.6560000051558018,0.03117081431671977,4600,-0.6289414918422699,0.001,0.79526275,0.3598784804344177,-0.13821884291370712,-0.15070046484470367,0.2,,,
2820,2820,94,0,1.37,2124,0,3342,0.92,-0.09144004999999998,0.44666666850447656,0.04788930676411837,4650,-0.40758732974529266,0.001,0.2280779,0.3031070828437805,-0.11015913152197998,-0.11763300746679306,0.2,,,
2850,2850,95,0,1.4,2145,0,3378,0.92,-0.08204300000000002,0.5426666721701622,0.008625486762321088,4700,-0.44694623053073884,0.001,1.3110684,0.12510180473327637,-0.10020377330482005,-0.1282341629266739,0.2,,,
2880,2880,96,0,1.44,2163,0,3411,0.89,-0.11455811000000002,0.403333338201046,0.014575819855090232,4750,-0.258948920071125,0.001,0.44921067,0.10634922981262207,-0.07955809219678243,-0.08412615209817886,0.2,,,
