env/current_idx,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/fps,time/total_timesteps,env/n_steps,rollout/ep_rew_mean,env/completion_counter,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1876,55298,1.42,1499,0.89,0,44970,44970,-0.11391413999999997,2,0.2,0.0001,0.12985522374510766,-0.6080152988433838,-0.39325204491615295,14980,0.0,0.0012031456,-0.0026660705070631783,0.058252882212400436,,,
1899,,,,,,45000,45000,,2,0.2,0.0001,0.17261980772018432,0.1688765287399292,-0.36341854333877566,14990,0.0,0.00033742387,-0.0007407828179809784,0.06682588160037994,-0.031708255962003024,0.98,1.19
,55468,1.37,1500,0.9,0,45000,,-0.09719536999999999,,,,,,,,,,,,,,
1927,55503,1.24,1501,0.95,0,45030,45030,-0.0438833,2,0.2,0.0001,0.054992081969976424,0.6487336158752441,-0.3713687926530838,15000,0.0,0.00018563072,-0.0005401752322116815,0.02374327927827835,,,
1949,55533,1.3,1502,0.94,0,45060,45060,-0.05473236000000001,2,0.2,0.0001,0.017797215934842826,-92.20110321044922,-0.3678824335336685,15010,0.010000000521540642,0.0021895964,-0.012172071052870593,-0.020238060504198074,,,
1976,55566,1.2,1503,0.97,0,45090,45090,-0.03281335999999999,2,0.2,0.0001,0.09324421137571334,0.15446674823760986,-0.4273289889097214,15020,0.01666666716337204,0.0031106332,-0.009310294592287249,0.02556535415351391,,,
2005,55598,1.12,1504,0.99,0,45120,45120,-0.0178696,2,0.2,0.0001,0.027195938490331174,-236.85211181640625,-0.5114166289567947,15030,0.010000000521540642,0.0015769164,-0.00813727394910515,-0.002018168568611145,,,
2032,55631,1.14,1505,0.99,0,45150,45150,-0.018240290000000003,2,0.2,0.0001,0.009996544243767858,-1141.4945068359375,-0.5727478504180908,15040,0.0,0.00018649697,-0.0015964031231971987,-0.0007548790890723467,,,
2061,55664,1.08,1506,1.0,0,45180,45180,-0.00720073,2,0.2,0.0001,0.006973780598491431,-298.82354736328125,-0.6023395895957947,15050,0.0,0.001868401,-0.004354808554926493,-0.00844569131731987,,,
2083,55703,1.13,1507,0.98,0,45210,45210,-0.02828477,2,0.2,0.0001,0.005579077266156673,-179.6343536376953,-0.521486246585846,15060,0.0,0.0003799697,-0.0012723179210055945,-0.0037017068825662136,,,
