env/n_steps,rollout/ep_rew_mean,time/total_timesteps,env/current_idx,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/success_rate,env/completion_counter,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
32400,-0.05208304,32400,6838,540,1.29,0,41510,0.95,1,0.16530707,26950,-0.11792905762791633,0.2,0.34527164697647095,0.07582776382565498,-0.030456967651844025,0.2006666697189212,0.001,-0.04774050255989039,,,
32460,-0.03948139999999999,32460,6886,541,1.25,0,41591,0.97,1,0.2906863,27000,-0.12674802526831627,0.2,-0.3215668201446533,0.06548822440207004,-0.00254238024353981,0.16133333679288625,0.001,-0.028205112224755205,,,
32520,-0.049010479999999995,32520,6937,542,1.21,0,41669,0.96,1,0.8961271,27050,-0.07421416908502579,0.2,0.30638206005096436,0.04359845604747534,-0.05186784267425537,0.18200000308454037,0.001,-0.05052087469274795,,,
32580,-0.039816529999999996,32580,6983,543,1.24,0,41739,0.95,1,0.4358259,27100,-0.01547597672790289,0.2,0.31059980392456055,0.052062365040183065,-0.024027306586503983,0.09766666807234287,0.001,-0.04488721286753812,,,
32640,-0.039473730000000005,32640,7035,544,1.23,0,41810,0.95,1,0.6851632,27150,-0.11336713254451752,0.2,-1.8538234233856201,0.0696063294261694,-0.012845193967223167,0.16933333612978457,0.001,-0.03140923298460741,,,
32700,-0.09570743999999999,32700,7069,545,1.37,0,41882,0.9,1,0.34710357,27200,-0.05071472324430942,0.2,0.0980343222618103,0.0566334767639637,-0.035160671919584274,0.14633333846926688,0.001,-0.048068843501309536,,,
32760,-0.11833938999999999,32760,7117,546,1.41,0,41949,0.89,1,0.6670479,27250,-0.167162404358387,0.2,0.2811315059661865,0.16730476260185242,0.0017941445112228394,0.29933333784341815,0.001,-0.052756021382908004,,,
32820,-0.10628307,32820,7158,547,1.42,0,42018,0.91,1,0.30828992,27300,-0.09802347302436829,0.2,0.12009549140930176,0.11815172612667084,-0.0029427707195281982,0.1760000030696392,0.001,-0.05215258203198516,,,
32880,-0.06201844999999999,32880,7206,548,1.33,0,42090,0.93,1,0.292506,27350,-0.12244447216391563,0.2,0.38409143686294556,0.061506425142288206,-0.049660906195640564,0.24166667081415652,0.001,-0.05504534537966052,,,
32940,-0.041319289999999995,32940,7252,549,1.31,0,42164,0.95,1,1.0687468,27400,-0.11776884332299233,0.2,-0.3943321704864502,0.04738169353455305,-0.022210095077753067,0.24500000160187482,0.001,-0.02273409876755128,,,
33000,-0.04157840999999998,33000,7299,550,1.27,0,42232,0.96,1,0.18470393,27450,-0.1691511759161949,0.2,-0.26735711097717285,0.05934939235448837,-0.02850210852921009,0.26433333948254584,0.001,-0.046291727244854,,,
33060,-0.07384795000000001,33060,7343,551,1.33,0,42300,0.93,1,0.22223362,27500,-0.08651008889079094,0.2,-0.029790878295898438,0.09146767407655716,-0.020683653652668,0.13766667161136867,0.001,-0.04442280278975765,,,
33120,-0.07407586000000001,33120,7391,552,1.29,0,42370,0.94,1,1.2526433,27550,-0.07171729482710361,0.2,-0.018907546997070312,0.17992037415504455,0.0017184987664222717,0.2743333379179239,0.001,-0.06941314981132748,,,
33180,-0.06288588999999999,33180,7433,553,1.31,0,42445,0.94,1,0.39873403,27600,-0.04989820085465908,0.2,-0.15348243713378906,0.04053284321911633,-0.03912845253944397,0.20266666904091835,0.001,-0.033301497285564745,,,
33240,-0.06419219,33240,7481,554,1.35,0,42524,0.94,1,0.19382241,27650,-0.010957219833508135,0.2,-0.01836991310119629,0.07553068704903126,0.008509784936904907,0.04833333466202021,0.001,-0.011786086788556228,,,
33300,-0.04175334,33300,7524,555,1.31,0,42604,0.95,1,0.840962,27700,-0.06388347551226616,0.2,-0.6514871120452881,0.06729102723300456,-0.010881032794713974,0.19000000212341547,0.001,-0.03664212775540848,,,
33360,-0.01968654,33360,7580,556,1.2,0,42682,0.97,1,0.072263025,27750,-0.031211539916694165,0.2,0.15725761651992798,0.0333817870169878,0.009213186800479889,0.07666666891425848,0.001,-0.0029700420486430267,,,
33420,-0.03935516,33420,7624,557,1.22,0,42755,0.97,1,0.3890367,27800,-0.04016699209809303,0.2,-115.03153991699219,0.002648521458613686,-0.0043642339296638966,0.0893333363160491,0.001,-0.00345059902512002,,,
33480,-0.039505349999999995,33480,7678,558,1.23,0,42823,0.97,1,1.1960381,27850,-0.03791490159928799,0.2,0.1525840163230896,0.0948461127281189,-0.03421277925372124,0.17366666920483112,0.001,-0.05044195717200637,,,
33540,-0.060054180000000006,33540,7721,559,1.23,0,42898,0.95,1,0.7518281,27900,-0.056817640885710716,0.2,-54.277008056640625,0.002585540250875056,-0.020094843581318855,0.139666670486331,0.001,-0.01610952403792183,,,
33600,-0.11653393000000001,33600,7757,560,1.41,0,42968,0.9,1,0.44565326,27950,-0.106253349930048,0.2,0.08696770668029785,0.14385385945439338,0.0018743127584457397,0.1930000026524067,0.001,-0.049040638570984216,,,
33660,-0.13739552,33660,7804,561,1.45,0,43040,0.88,1,1.0385624,28000,-0.05649861007928848,0.2,0.09041184186935425,0.12445462942123413,0.00420258566737175,0.1396666705608368,0.001,-0.03637283473958572,,,
33720,-0.12765495999999998,33720,7844,562,1.41,0,43110,0.88,1,0.32810247,28050,-0.10629485070705413,0.2,0.21455055475234985,0.11027695447206497,-0.01855829730629921,0.193000001385808,0.001,-0.04521029903863866,,,
33780,-0.08280482999999998,33780,7890,563,1.36,0,43184,0.92,1,0.2608401,28100,-0.08564906194806099,0.2,-0.2549089193344116,0.18712909519672394,0.012254156172275543,0.18033333703875543,0.001,-0.05185484007745984,,,
33840,-0.06056189,33840,7934,564,1.33,0,43254,0.94,1,0.92112845,28150,-0.04424279037863016,0.2,0.42877161502838135,0.023438402768224478,-0.0660613551735878,0.22100000090897085,0.001,-0.06473391660054524,,,
33900,-0.07016769,33900,7983,565,1.32,0,43325,0.94,1,0.19448219,28200,-0.06761345833539963,0.2,0.1647505760192871,0.08233650416135788,-0.009885286912322044,0.1060000028461218,0.001,-0.021549894840146137,,,
33960,-0.07043445,33960,8026,566,1.32,0,43401,0.93,1,0.36888352,28250,-0.06939264364540577,0.2,0.13924044370651245,0.055385970771312715,0.007130743004381657,0.1496666719019413,0.001,-0.010212425625572603,,,
34020,-0.07059397,34020,8072,567,1.32,0,43467,0.92,1,0.41201118,28300,-0.044925194159150125,0.2,0.42365050315856934,0.05826291494071484,-0.0029943548142910004,0.1266666728258133,0.001,-0.025050016149878472,,,
34080,-0.06120873,34080,8119,568,1.28,0,43541,0.94,1,1.212705,28350,-0.0917666158825159,0.2,0.2219051718711853,0.06709406696259976,-0.038024675101041794,0.14133333705365658,0.001,-0.037774429496377736,,,
34140,-0.05247341,34140,8163,569,1.32,0,43626,0.93,1,0.31797913,28400,-0.0646178063005209,0.2,0.13813501596450806,0.08138078778982162,-0.02655608206987381,0.1766666704416275,0.001,-0.04554643747955566,,,
34200,-0.09510429999999999,34200,8202,570,1.43,0,43705,0.9,1,0.12533867,28450,-0.03859484512358904,0.2,-0.6360081434249878,0.092476292476058,-0.003294633701443672,0.10566666759550572,0.001,-0.03149232924481232,,,
34260,-0.12394932999999998,34260,8242,571,1.47,0,43772,0.88,1,0.31788403,28500,-0.1290649539232254,0.2,0.1339089274406433,0.13065691336989402,-0.0318310484290123,0.19233333926647903,0.001,-0.053763616135964795,,,
34320,-0.11781953999999999,34320,8280,572,1.54,0,43839,0.89,1,0.38399658,28550,-0.12135746136307717,0.2,-0.00911104679107666,0.07750098653137684,-0.05840354412794113,0.27000000305473804,0.001,-0.0693160535382728,,,
34380,-0.06556685,34380,8322,573,1.47,0,43910,0.91,1,0.29634625,28600,-0.12106921717524528,0.2,0.10102260112762451,0.06543750800192356,-0.017325056716799736,0.22700000286102295,0.001,-0.02930302300211042,,,
34440,-0.05314534,34440,8367,574,1.4,0,43978,0.91,1,0.20997979,28650,-0.06163168244063854,0.2,-0.5070148706436157,0.03127504670992494,-0.020926056429743767,0.1346666706353426,0.001,-0.021576292984187603,,,
34500,-0.05120741000000001,34500,8415,575,1.31,0,44046,0.92,1,0.23248546,28700,-0.11838563546538353,0.2,0.6141232252120972,0.013163473520544358,-0.05847199633717537,0.21400000303983688,0.001,-0.04177674584525327,,,
